,preName,runStart,runEnd,runoff,peak,runDur,runCode,nGauges,avgRain,minRain,maxRain,rainPeak,rainStartFirst,rainStartLast,rainEndLast,rainEndFirst,runErainE,runSrainSL,runSrainEL,lowRunFlag,lowRainFlag,runAeFlag,runPrFlag,rainLateFlag,runLateFlag,runLateFlag2
0,20100711-214500,2010-07-11 21:45:00,2010-07-12 09:45:00,0.30887718608357123,0.26537196114285716,720.0,['A'],7.0,9.906,1.778,18.034,88.392,2010-07-11 04:50:00,2010-07-11 20:25:00,2010-07-11 21:25:00,2010-07-11 20:30:00,1.25,16.916666666666668,0.3333333333333333,,,,,,,
1,20100716-024500,2010-07-16 02:45:00,2010-07-16 19:45:00,0.18452048703642862,0.12702255457142855,1020.0,['A'],7.0,13.679714285714292,0.508,38.60800000000002,57.912,2010-07-15 20:10:00,2010-07-15 20:30:00,2010-07-16 02:15:00,2010-07-15 20:30:00,6.25,6.583333333333333,0.5,,,,,,,1.0
2,20100722-200000,2010-07-22 20:00:00,2010-07-23 06:00:00,0.03133492699714286,0.011569570257142859,600.0,['A'],7.0,3.5197142857142865,0.254,8.128000000000002,45.72,2010-07-22 17:20:00,2010-07-22 17:40:00,2010-07-23 00:30:00,2010-07-22 17:35:00,2.4166666666666665,2.6666666666666665,-4.5,,,,,,,
3,20100805-050000,2010-08-05 05:00:00,2010-08-06 21:00:00,1.7438052731385714,0.464400932,2400.0,['A'],7.0,27.250571428571426,10.16,58.419999999999995,91.44,2010-08-04 18:30:00,2010-08-04 22:45:00,2010-08-06 03:40:00,2010-08-05 19:00:00,-14.0,10.5,-22.666666666666668,,,,,,,
4,20100807-180000,2010-08-07 18:00:00,2010-08-08 10:00:00,0.4679446185542857,0.19741084914285714,960.0,['A'],7.0,14.441714285714287,5.3340000000000005,22.098000000000003,91.44,2010-08-06 22:00:00,2010-08-07 17:00:00,2010-08-07 18:10:00,2010-08-07 17:25:00,0.5833333333333334,20.0,-0.16666666666666666,,,,,,,
5,20110723-203000,2011-07-23 20:30:00,2011-07-24 01:45:00,0.08288289107523811,0.10922321571428573,315.0,['A'],7.0,3.156857142857144,0.0,15.748000000000005,27.431999999999995,2011-07-23 18:20:00,2011-07-23 20:30:00,2011-07-24 01:45:00,2011-07-23 19:40:00,0.8333333333333334,2.1666666666666665,-5.25,,,,,,,
6,20110802-190000,2011-08-02 19:00:00,2011-08-03 18:15:00,0.3697617124530949,0.22330079657142854,1395.0,['A'],7.0,24.892000000000003,16.510000000000005,30.98800000000001,70.104,2011-08-02 16:35:00,2011-08-02 18:15:00,2011-08-03 06:40:00,2011-08-03 00:40:00,-5.666666666666667,2.4166666666666665,-11.666666666666666,,,,,,,
7,20110817-184500,2011-08-17 18:45:00,2011-08-17 23:00:00,0.0393169865702381,0.05315529831428572,255.0,['A'],7.0,8.418285714285714,2.032,21.59,64.008,2011-08-16 20:50:00,2011-08-17 16:40:00,2011-08-17 17:25:00,2011-08-17 00:55:00,17.833333333333332,21.916666666666668,1.3333333333333333,,,,,,,1.0
8,20110914-140000,2011-09-14 14:00:00,2011-09-14 21:45:00,0.9315486256100002,0.9466012028571427,465.0,['A'],7.0,14.840857142857145,9.398,20.320000000000007,36.576,2011-09-13 17:35:00,2011-09-14 13:45:00,2011-09-14 16:50:00,2011-09-14 16:25:00,-2.4166666666666665,20.416666666666668,-2.8333333333333335,,,,,,,
9,20120926-224500,2012-09-26 22:45:00,2012-09-27 06:45:00,0.6701525243626193,0.4118119762857143,480.0,['A'],7.0,13.60714285714286,0.254,41.656000000000006,82.296,2012-09-26 14:25:00,2012-09-26 15:15:00,2012-09-27 02:10:00,2012-09-26 14:45:00,8.0,8.333333333333334,-3.4166666666666665,,,,,,,1.0
10,20130803-154500,2013-08-03 15:45:00,2013-08-06 07:30:00,1.5326808424671419,0.464400932,3825.0,['A' 'A:e'],7.0,43.65171428571428,25.146000000000004,75.43799999999995,103.63200000000002,2013-08-03 00:45:00,2013-08-03 16:20:00,2013-08-04 06:55:00,2013-08-04 00:10:00,-8.416666666666666,15.0,-15.166666666666666,,,1.0,,,,
11,20130807-150000,2013-08-07 15:00:00,2013-08-11 07:45:00,5.250748328597149,0.5275076788571429,5325.0,['A' 'A:e'],7.0,35.051999999999985,17.272000000000006,74.16799999999994,158.496,2013-08-07 14:50:00,2013-08-07 15:35:00,2013-08-10 23:50:00,2013-08-10 23:15:00,-80.25,0.16666666666666666,-80.83333333333333,,,1.0,,,,
12,20130812-144500,2013-08-12 14:45:00,2013-08-16 19:00:00,0.5687980997014271,0.10922321571428573,6015.0,['A' 'A:e'],7.0,7.5111428571428585,2.7939999999999996,17.526000000000003,54.86399999999999,2013-08-12 14:55:00,2013-08-12 16:00:00,2013-08-14 22:15:00,2013-08-13 19:10:00,-28.416666666666668,-0.16666666666666666,-55.5,,,1.0,,1.0,,
13,20130818-170000,2013-08-18 17:00:00,2013-08-21 10:15:00,0.3003517073014287,0.03090612474285715,3915.0,['A' 'A:e'],7.0,6.894285714285713,0.0,33.019999999999996,158.496,2013-08-18 17:00:00,2013-08-18 18:15:00,2013-08-21 10:15:00,2013-08-18 18:40:00,-1.6666666666666667,0.0,-65.25,,,1.0,,,,
14,20140608-154500,2014-06-08 15:45:00,2014-06-08 18:15:00,0.02430014284428571,0.01998380317142857,150.0,['A' 'A:e'],5.0,10.160000000000002,5.842,14.986000000000004,36.576,2014-06-08 15:30:00,2014-06-08 16:00:00,2014-06-08 17:40:00,2014-06-08 17:15:00,-1.5,0.25,-1.9166666666666667,,,1.0,,,,
15,20140701-231500,2014-07-01 23:15:00,2014-07-01 23:45:00,0.05311484527142857,0.1504853194285714,30.0,['A'],6.0,9.567333333333336,0.254,26.670000000000005,106.67999999999999,2014-06-30 23:55:00,2014-07-01 23:30:00,2014-07-02 00:10:00,2014-07-01 23:35:00,-0.3333333333333333,23.333333333333332,-0.9166666666666666,,,,,,,
16,20140712-174500,2014-07-12 17:45:00,2014-07-13 04:30:00,0.22243105614999995,0.0605986582,645.0,['A' 'A:e'],5.0,37.18560000000001,10.414000000000005,54.10199999999995,79.248,2014-07-11 19:20:00,2014-07-12 19:55:00,2014-07-13 04:25:00,2014-07-13 00:30:00,-6.75,22.416666666666668,-10.666666666666666,,,1.0,,,,
17,20140801-161500,2014-08-01 16:15:00,2014-08-01 18:30:00,0.026254024814285713,0.022572797914285715,135.0,['A' 'A:e'],5.0,6.096000000000002,3.5559999999999996,13.462000000000003,36.576,2014-08-01 15:40:00,2014-08-01 16:35:00,2014-08-01 18:35:00,2014-08-01 17:10:00,-0.9166666666666666,0.5833333333333334,-2.3333333333333335,,,1.0,,,,
18,20140810-220000,2014-08-10 22:00:00,2014-08-10 23:45:00,1.1733405080714285,1.0679603314285715,105.0,['A'],5.0,34.69639999999999,7.619999999999999,87.37599999999992,204.216,2014-08-10 18:05:00,2014-08-10 19:20:00,2014-08-10 22:00:00,2014-08-10 21:40:00,0.3333333333333333,3.9166666666666665,0.0,,,,,,,
