preName,dataType,gauge,rainStartTime,timeStamp,elapsedTime,intervalHr,accDepth_DAP,accDepth,rainRate,rainCode,intensityCode_a,timeCode_a
a19630729-200200,a,83,1963-07-29 19:55:00,1963-07-29 19:55:00,0.0,20.883333333333333,0.0,0.0,0.0,0,0.0,0.0
a19630729-200200,a,83,1963-07-29 19:55:00,1963-07-29 20:02:00,7.0,0.11666666666666667,4.318,4.318,37.011427198137554,0,0.0,0.0
a19630729-200200,a,83,1963-07-29 19:55:00,1963-07-29 20:17:00,22.0,0.25,7.62,7.62,13.208000183105469,0,0.0,0.0
a19630729-200200,a,83,1963-07-29 19:55:00,1963-07-29 21:03:00,68.0,0.7666666666666667,8.636,8.636,1.325217122616975,0,0.0,0.0
a19630729-200200,a,83,1963-07-29 19:55:00,1963-07-29 22:03:00,128.0,1.0,11.684,11.684,3.0480003356933594,0,0.0,0.0
a19630729-200200,a,83,1963-07-29 19:55:00,1963-07-29 22:48:00,173.0,0.75,14.986,14.986,4.402666727701823,0,0.0,0.0
a19630730-145600,a,83,1963-07-30 14:59:00,1963-07-30 14:59:00,0.0,16.183333333333334,0.0,0.0,0.0,0,0.0,0.0
a19630730-145600,a,83,1963-07-30 14:59:00,1963-07-30 15:01:00,2.0,0.03333333333333333,2.794,2.794,83.81999731063843,0,2.0,0.0
a19630731-232400,a,83,1963-07-31 23:05:00,1963-07-31 23:05:00,0.0,,0.0,0.0,0.0,0,0.0,0.0
a19630731-232400,a,83,1963-07-31 23:05:00,1963-07-31 23:16:00,11.0,0.18333333333333332,2.286,2.286,12.469090981916949,0,0.0,0.0
a19630731-232400,a,83,1963-07-31 23:05:00,1963-07-31 23:26:00,21.0,0.16666666666666666,6.35,6.35,24.384000778198242,0,0.0,0.0
a19630731-232400,a,83,1963-07-31 23:05:00,1963-08-01 00:00:00,55.0,0.5666666666666667,8.382,8.382,3.5858824673820946,0,0.0,0.0
a19630731-232400,a,83,1963-07-31 23:05:00,1963-08-01 01:31:00,146.0,1.5166666666666666,9.398,9.398,0.6698899740701194,0,0.0,0.0
a19630802-135900,a,83,1963-08-02 13:57:00,1963-08-02 13:57:00,0.0,,0.0,0.0,0.0,0,0.0,0.0
a19630802-135900,a,83,1963-08-02 13:57:00,1963-08-02 14:02:00,5.0,0.08333333333333333,6.096,6.096,73.15200233459473,0,0.0,0.0
a19630802-135900,a,83,1963-08-02 13:57:00,1963-08-02 14:06:00,9.0,0.06666666666666667,10.414,10.414,64.76999044418335,0,0.0,0.0
a19630802-135900,a,83,1963-08-02 13:57:00,1963-08-02 14:14:00,17.0,0.13333333333333333,13.716,13.716,24.765000343322754,0,0.0,0.0
a19630802-135900,a,83,1963-08-02 13:57:00,1963-08-02 14:44:00,47.0,0.5,14.478,14.478,1.5240001678466797,0,0.0,0.0
a19630802-135900,a,83,1963-08-02 13:57:00,1963-08-02 14:58:00,61.0,0.23333333333333334,15.494,15.494,4.3542889186314175,0,0.0,0.0
a19630802-135900,a,83,1963-08-02 13:57:00,1963-08-02 15:52:00,115.0,0.9,15.494,15.494,0.0,0,0.0,0.0
a19630802-135900,a,83,1963-08-02 13:57:00,1963-08-02 17:00:00,183.0,1.1333333333333333,18.542,18.542,2.6894112194285675,0,0.0,0.0
a19630810-153500,a,83,1963-08-10 15:10:00,1963-08-10 15:10:00,0.0,,0.0,0.0,0.0,0,0.0,0.0
a19630810-153500,a,83,1963-08-10 15:10:00,1963-08-10 15:22:00,12.0,0.2,1.524,1.524,7.620000243186951,0,0.0,0.0
a19630810-153500,a,83,1963-08-10 15:10:00,1963-08-10 15:28:00,18.0,0.1,3.81,3.81,22.859997749328613,0,0.0,0.0
a19630810-153500,a,83,1963-08-10 15:10:00,1963-08-10 15:35:00,25.0,0.11666666666666667,7.112,7.112,28.302857535226003,0,0.0,0.0
a19630810-153500,a,83,1963-08-10 15:10:00,1963-08-10 16:16:00,66.0,0.6833333333333333,8.89,8.89,2.601951738683189,0,0.0,0.0
a19630810-153500,a,83,1963-08-10 15:10:00,1963-08-10 16:57:00,107.0,0.6833333333333333,11.176,11.176,3.3453648264815166,0,0.0,0.0
a19630819-092800,a,83,1963-08-19 09:28:00,1963-08-19 09:28:00,0.0,,0.0,0.0,0.0,0,0.0,0.0
a19630819-092800,a,83,1963-08-19 09:28:00,1963-08-19 09:36:00,8.0,0.13333333333333333,2.286,2.286,17.145000100135803,0,0.0,0.0
a19630819-092800,a,83,1963-08-19 09:28:00,1963-08-19 09:42:00,14.0,0.1,6.35,6.35,40.64000129699707,0,0.0,0.0
a19630819-092800,a,83,1963-08-19 09:28:00,1963-08-19 09:54:00,26.0,0.2,7.112,7.112,3.810000419616699,0,0.0,0.0
a19630819-092800,a,83,1963-08-19 09:28:00,1963-08-19 10:08:00,40.0,0.23333333333333334,8.89,8.89,7.620001520429339,0,0.0,0.0
a19630819-092800,a,83,1963-08-19 09:28:00,1963-08-19 10:28:00,60.0,0.3333333333333333,9.398,9.398,1.5239982604980469,0,0.0,0.0
a19630822-124500,a,83,1963-08-22 12:25:00,1963-08-22 12:25:00,0.0,18.666666666666668,0.0,0.0,0.0,0,0.0,0.0
a19630822-124500,a,83,1963-08-22 12:25:00,1963-08-22 12:37:00,12.0,0.2,3.302,3.302,16.510000228881836,0,0.0,0.0
a19630822-124500,a,83,1963-08-22 12:25:00,1963-08-22 12:48:00,23.0,0.18333333333333332,6.096,6.096,15.240000811490146,0,0.0,0.0
a19630822-124500,a,83,1963-08-22 12:25:00,1963-08-22 13:12:00,47.0,0.4,6.096,6.096,0.0,0,0.0,0.0
a19630822-124500,a,83,1963-08-22 12:25:00,1963-08-22 13:24:00,59.0,0.2,7.366,7.366,6.349999904632568,0,0.0,0.0
